Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,AGO,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,8.2,9.9,13.3,9.9,9.9,14,15.2,17.8,22.4,24.1,35.7,32.9,39.1,,
Angola,AGO,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100000,18300000,7421000,16587000,5960000,9480000,2790000,15750000,4420000,,,226800000,49430571.11,1339588442,12021694.12,12000000,,,,16332320.86,18843635.45,21944072.22,17490960,10997630,11569560,8226880
Angola,AGO,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,1170000,1660000,5630000,430000,,,2495000,3378446.38,1366548.48,1173129.46,470000,20000,6378100,3185000,224315044.6,212220137.3,252852819.1,264702200,212229720,221726875.7,246614994.8
Albania,ALB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179503228,0.339874041,0.761716063,1.744553865,0.697374879,0.724100711,0.699557264,0.95997465,0.991776725,4.222699697,6.167414935,1.314305132,3.469615642,0.764653339,0.893509249,0.530148791,0.443274093,0.513330673,0.120347982,1.487346477,0.647750657,0.086490083,
Albania,ALB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247748,302707,1070147,5144499,1489031,1858694,1950417,3614505,4872125,3607944,3968947,9945986,6296633,5832068,8585833,6202700,4819147,6256686,917486,15123662,8424644,1009999,
Albania,ALB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.11163,,,,,,,,,,
Albania,ALB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.1011,,,,,,,,,,
Albania,ALB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1258,2094,2416,2364,2316,2534,2524,2224,2344,2710,3209,3460,3671,4024,3456,3365,3396,,2941,3012,3030,3281,3480,
Albania,ALB,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,26,36,27,17,32,54,106,132,128,147,186,148,216,213,286,274,,377,420,509,662,684,
Albania,ALB,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,1254,2068,2380,2337,2299,2502,2470,2118,2212,2582,3062,3274,3523,3808,3243,3079,3122,,2564,2592,2521,2619,2796,
Albania,ALB,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,10,14,,,
Albania,ALB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,120,238,391,,386,,,,361,,8,,4,3,5,,,
Albania,ALB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.9,22,26.2,32.6,40.3,51.9,76.8,140.8,165.2,214.1,359.5,360.7,269,191.4,,
Albania,ALB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08737,0.15412,,,,,,,,,,
Albania,ALB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5321983.91,15410498.39,505314.458,723627.4161,7530000,40363345.01,17084383.26,739132.6028,13324779.11,1651039.353,1185843.636,740256.6694,1944121.659,2703124.009,10984867.32,14949569.91
Albania,ALB,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8358857.12,4942627.61,4204267.362,6768509.008,11850000,12517321.15,14478668.94,12142401.22,12695213.14,23369955.64,22607673.51,21875569.24,24570725.86,23157888.57,13126155.65,26412589.69
Andorra,AND,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.164747598,13.56072455,19.8012256,12.8138865,9.70343224,10.92196833,21.79661846,16.9856775,20.47674801,26.69742315,26.40161869,15.36538923,22.31188385,13.92621348,10.30210905,21.61801241,16.74692726,19.44406242,22.05047952,18.60583622,,,,
Andorra,AND,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3914459,5577625,8330815,6432320,3511781,4113229,10193596,9822198,16410433,27459185,25375265,16789361,31340088,15234546,8789758,17876901,17190617,18556300,20172634,16200929,,,,
Andorra,AND,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2449,7643,2404,1141,1620,1578,725,859,741,806,876,1071,1021,785,948,803,620,,896,1053,991,977,
Andorra,AND,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,504,498,226,728,600,240,258,202,304,239,259,325,243,259,225,182,,191,190,224,215,
Andorra,AND,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2285,7139,1906,915,892,978,485,601,539,502,637,812,696,542,689,578,438,,705,863,767,762,
Andorra,AND,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,
Andorra,AND,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,1.3,4.8,5,6.2,1.7,2.6,1.2,1,3.6,5.9,5.4,7.4,7.9,,
Andorra,AND,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.273837261,1.42932841,3.328064347,0.904002192,1.136351968,,1.900030417,2.849142724,1.855348821,1.327152268,1.426828615,1.703296561,1.19115924,1.473309033,1.36561127,1.106456751,1.583297717,,,1.137687035,2.114392592,1.74218273,3.355814063,,2.349318383,,
Arab World,ARB,High-technology exports (current US$),TX.VAL.TECH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850401967,817697491,944144718,1089505057,1240746889,1313697416,1716825714,1762952704,2132942126,1631056824,2419538790,2416003819,2599340987,2770923934,,,,,
Arab World,ARB,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Researchers in R&D (per million people),SP.POP.SCIE.RD.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Trademark applications, total",IP.TMK.TOTL,,,,,,,,,,,,,,,,,,,,,8411,,,,,,,,,,,,,,,,,,,,50463,,,,53851,63172,75102,,74074,64177,,80519,83246,84284,113036,140326,109785,,
Arab World,ARB,"Trademark applications, direct resident",IP.TMK.RESD,,,,,,,,,,,,,,,,,,,,,2463,,,,,,,,,,,,,,,,,,,,14169,,,,,,,,,,,29121,,30598,45476,52207,46407,,
Arab World,ARB,"Trademark applications, direct nonresident",IP.TMK.NRES,,,,,,,,,,,,,,,,,,,,,5948,,,,,,,,,,,,,,,,,,,,26273,,,,,,,,,,,51398,,53686,67560,63674,54617,,
Arab World,ARB,"Patent applications, residents",IP.PAT.RESD,,,,,,,,,,,,,,,,,,,,,162,171,,193,,,,,,549,,,,702,703,795,902,,777,809,1124,831,991,874,932,982,,1027,,,1551,1688,,2161,2184,2910,2913,,
Arab World,ARB,"Patent applications, nonresidents",IP.PAT.NRES,,,,,,,,,,,,,,,,,,,,,1948,1862,,1725,,,,,,1202,,,1499,1815,1780,2081,2131,,3318,,2428,2073,1892,1746,1946,2891,,4738,,,4874,6324,,6387,6135,7830,6765,,
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10820.88702,11847.24527,12852.87354,14651.51962,16204.69818,18403.39161,21934.55407,24677.39689,28301.16011,32155.51542,36035.75041,38762.21624,41224.22398,44733.95482,,
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56212893,,,,,,,
Arab World,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD,,,,,,,,,,,,,,,,1233810.098,452559.0803,1110285.593,479999.5201,769401.5832,1270116.798,2320052.911,830147.9865,1828070.444,1248505.222,6857146.832,2306566.484,3110336.185,1218152.915,12113791.8,5384885.995,4134818.039,1405501.955,5807257.656,43379176.67,50984681.51,61075577.26,59092853.22,73297584.58,62633819.25,99847249.88,78702515.71,74893529.53,165454930.5,133984587.7,174411828.8,318268578.5,157473828.2,41334881.87,63801539.92,48832292.91,53838247.26,30495082.14,102773106.3,64825403.1,64008713.59,74105128.41,80219729.68,5182469.843
