,country,indicator,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
66,ARB,High-technology exports (current US$),,,,,,,,,,850401967.0,817697491.0,944144718.0,1089505057.0,1240746889.0,1313697416.0,1716825714.0,1762952704.0,2132942126.0,1631056824.0,2419538790.0,2416003819.0,2599340987.0,2770923934.0,,,,
69,ARB,"Trademark applications, total",,,,,,,,,,50463.0,,,,53851.0,63172.0,75102.0,,74074.0,64177.0,,80519.0,83246.0,84284.0,113036.0,140326.0,109785.0,
72,ARB,"Patent applications, residents",,,702.0,703.0,795.0,902.0,,777.0,809.0,1124.0,831.0,991.0,874.0,932.0,982.0,,1027.0,,,1551.0,1688.0,,2161.0,2184.0,2910.0,2913.0,
73,ARB,"Patent applications, nonresidents",,1499.0,1815.0,1780.0,2081.0,2131.0,,3318.0,,2428.0,2073.0,1892.0,1746.0,1946.0,2891.0,,4738.0,,,4874.0,6324.0,,6387.0,6135.0,7830.0,6765.0,
74,ARB,Scientific and technical journal articles,,,,,,,,,,,,,10820.88702,11847.24527,12852.87354,14651.51962,16204.698180000001,18403.39161,21934.55407,24677.39689,28301.16011,32155.51542,36035.75041,38762.216239999994,41224.22398,44733.95482,
76,ARB,"Charges for the use of intellectual property, receipts (BoP, current US$)",4134818.039,1405501.955,5807257.656,43379176.67,50984681.51,61075577.26,59092853.22,73297584.58,62633819.25,99847249.88,78702515.71,74893529.53,165454930.5,133984587.7,174411828.8,318268578.5,157473828.2,41334881.87,63801539.92,48832292.91,53838247.26,30495082.14,102773106.3,64825403.1,64008713.59,74105128.41,80219729.68
77,ARB,"Charges for the use of intellectual property, payments (BoP, current US$)",61495810.2,68243385.8,78748999.79,609512999.1,224169818.4,176057689.9,491829384.0,566753377.6,532460827.8,423152346.0,402587709.2,220064041.9,210484830.3,164739257.3,289649778.4,264755627.3,513265852.8,385879185.8,392258199.6,435296352.4,422359090.7,590060804.2,611303175.0,570619632.5,637061825.2,727924944.8,600752277.6
78,ARE,High-technology exports (% of manufactured exports),0.026478638,0.15199216599999998,0.031645521,,,,,,1.120983295,0.15674427300000002,1.063698271,,,,1.8714889019999998,,1.070383568,3.202785439,,,,3.710691315,3.177578231,8.463408851,,2.321466353,
79,ARE,High-technology exports (current US$),15771.0,136590.0,51757.0,,,,,,6367751.0,1106956.0,9259201.0,7267038.0,8237510.0,10354212.0,43157534.0,26369910.0,39672400.0,204925025.0,13938327.0,28169075.0,54586712.0,486535642.0,457478966.0,1555995856.0,834367361.0,429174936.0,
82,ARE,"Trademark applications, total",,,4174.0,4772.0,5344.0,5524.0,5050.0,4602.0,4764.0,5680.0,5555.0,5392.0,7102.0,8101.0,10262.0,12476.0,15695.0,19282.0,13297.0,13497.0,16059.0,16798.0,18747.0,20321.0,21415.0,18777.0,19042.0
