country code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
BHR,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,23.0,17.0,6.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,5.0,4.0,1.0,3.0,11.0
BIH,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,6.0,9.0,9.0,8.0,1.0,16.0,7.0,3.0,6.0,1.0,2.0,7.0,0.0,2.0,2.0,4.0,3.0
BLR,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,636.0,621.0,454.0,539.0,181.0,197.0,148.0,213.0,179.0,374.0,465.0,381.0,740.0,670.0,671.0,791.0,911.0,683.0,772.0,457.0,415.0,425.0,828.0,1556.0
BLZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,10.0,4.0,9.0,5.0,2.0,9.0,8.0,11.0,3.0,15.0,14.0,8.0,10.0,8.0,14.0,18.0
BMU,20.0,25.0,40.0,40.0,47.0,32.0,59.0,36.0,37.0,26.0,28.0,12.0,20.0,12.0,8.0,12.0,25.0,22.0,45.0,33.0,59.0,65.0,96.0,97.0,156.0,181.0,285.0,265.0,340.0,271.0,128.0,214.0,302.0,424.0,732.0,819.0,741.0,630.0
BRA,130.0,106.0,135.0,133.0,141.0,114.0,139.0,141.0,103.0,156.0,172.0,176.0,131.0,209.0,200.0,204.0,178.0,189.0,223.0,241.0,333.0,344.0,346.0,414.0,391.0,328.0,464.0,301.0,450.0,729.0,764.0,951.0,914.0,1009.0,1096.0,1137.0,1239.0,1240.0
BRB,2.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,10.0,6.0,12.0,4.0,1.0,5.0,5.0,13.0,10.0,16.0,20.0,38.0,36.0,89.0,133.0,192.0,190.0,245.0,251.0,288.0,325.0,330.0,358.0,436.0,401.0,402.0,509.0,543.0,611.0,573.0
BRN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,6.0,9.0,13.0,38.0,46.0,24.0,12.0,7.0,9.0,8.0,8.0
BTN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BWA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,5.0,6.0,1.0,0.0,3.0,1.0,1.0
CAF,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
CAN,3702.0,3538.0,3742.0,3617.0,3827.0,4057.0,3779.0,3677.0,3695.0,3961.0,3869.0,3987.0,4018.0,4024.0,3961.0,3815.0,3935.0,4017.0,4985.0,5850.0,5539.0,6086.0,6268.0,6696.0,6719.0,6269.0,7124.0,6847.0,7104.0,7701.0,9672.0,10185.0,11634.0,12807.0,13461.0,12287.0,12586.0,11826.0
CHE,11393.0,10479.0,11186.0,10857.0,11089.0,13212.0,12457.0,11043.0,10863.0,10593.0,9702.0,9546.0,9074.0,9756.0,9736.0,9274.0,8776.0,8385.0,7955.0,8556.0,7747.0,9080.0,9981.0,12025.0,11374.0,10365.0,12386.0,11756.0,13516.0,14035.0,14469.0,14872.0,16142.0,17637.0,18368.0,19028.0,22851.0,22836.0
CHL,8.0,8.0,5.0,4.0,9.0,6.0,7.0,17.0,14.0,12.0,10.0,15.0,13.0,25.0,23.0,12.0,19.0,15.0,16.0,17.0,17.0,11.0,14.0,19.0,34.0,46.0,35.0,35.0,61.0,65.0,62.0,84.0,94.0,163.0,152.0,163.0,170.0,197.0
CHN,16.0,23.0,20.0,16.0,17.0,38.0,42.0,41.0,89.0,99.0,104.0,89.0,119.0,1558.0,1741.0,1782.0,1458.0,1453.0,1915.0,2465.0,5985.0,6697.0,5818.0,11563.0,18249.0,20195.0,25549.0,30793.0,44813.0,65400.0,72805.0,105336.0,143779.0,153381.0,167611.0,248632.0,311503.0,337009.0
CIV,4.0,9.0,24.0,3.0,39.0,0.0,4.0,57.0,16.0,14.0,2.0,15.0,1.0,57.0,14.0,28.0,0.0,3.0,0.0,0.0,1.0,16.0,98.0,148.0,48.0,0.0,246.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
CMR,0.0,3.0,1.0,0.0,1.0,0.0,1.0,12.0,0.0,26.0,0.0,0.0,0.0,71.0,84.0,14.0,28.0,2.0,0.0,0.0,0.0,32.0,33.0,144.0,0.0,2.0,592.0,16.0,0.0,2.0,4.0,4.0,4.0,6.0,1.0,1.0,2.0,4.0
COL,2.0,8.0,13.0,14.0,16.0,8.0,12.0,7.0,17.0,10.0,8.0,12.0,6.0,14.0,11.0,10.0,9.0,9.0,6.0,15.0,9.0,16.0,8.0,16.0,19.0,12.0,21.0,16.0,21.0,17.0,16.0,25.0,27.0,41.0,52.0,62.0,46.0,62.0
COM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
CPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,11.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRI,3.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,2.0,2.0,4.0,3.0,1.0,5.0,1.0,13.0,10.0,8.0,14.0,5.0,2.0,13.0,26.0,10.0,6.0,7.0,12.0,14.0,12.0,13.0,14.0,12.0,17.0,13.0
CUB,7.0,11.0,6.0,9.0,12.0,16.0,9.0,20.0,9.0,11.0,7.0,9.0,4.0,15.0,19.0,12.0,13.0,23.0,20.0,24.0,13.0,33.0,27.0,49.0,74.0,90.0,93.0,83.0,74.0,95.0,76.0,74.0,92.0,110.0,105.0,107.0,101.0,94.0
CUW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,20.0,27.0
CYP,4.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,5.0,5.0,9.0,5.0,15.0,25.0,15.0,20.0,22.0,27.0,22.0,42.0,40.0,46.0,49.0,72.0,93.0,58.0,158.0,118.0,116.0,187.0,131.0,145.0,136.0,145.0,143.0,218.0,312.0,255.0
